indicator,asn,country_code2,name,description,modified,created,source,message,validation_name
43.134.120.219,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
43.128.74.37,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
18.163.242.58,AS16509 amazon.com inc,HK,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
8.247.49.120,AS3356 level 3 parent  llc,US,,,,,,,
31.13.68.60,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
101.32.248.90,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
31.13.68.61,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
157.240.13.54,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
43.134.53.107,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
34.238.194.253,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
119.91.208.128,AS45090 shenzhen tencent computer systems company limited,CN,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29T22:59:38.184000,2023-11-28T23:00:20.181000,,,
31.13.95.40,AS32934 facebook  inc.,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,,,,
54.90.2.60,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
44.195.62.180,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
43.133.45.194,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
157.240.211.61,AS32934 facebook  inc.,HK,,,,,,,
18.139.106.18,AS16509 amazon.com inc,SG,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
3.216.157.50,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
192.53.174.79,AS63949 linode  llc,SG,,,,,,,
18.215.171.125,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
130.44.212.236,AS396986 bytedance inc.,US,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000,,,
43.198.50.186,AS16509 amazon.com inc,US,,,,,,,
54.210.198.149,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
142.251.175.95,AS15169 google llc,US,,,,,,,
138.199.46.216,AS60068 datacamp limited,SG,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000,,,
44.203.79.18,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
157.240.235.19,AS32934 facebook  inc.,SG,,,,,,,
142.251.12.95,AS15169 google llc,US,,,,,,,
92.223.85.54,AS199524 g-core labs s.a.,SG,,,,,,,
146.196.111.213,AS139460 pt maxindo mitra solusi,ID,,,,,,,
52.90.171.255,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
44.210.77.158,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
155.138.243.251,AS20473 the constant company  llc,US,,,,,,,
54.166.98.110,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
