name,data,.id,type,static,ttl,timestamp
google.com,ns4.google.com,*F7FD1,NS,False,14m57s,2023-11-17 09:31:18 WIB
google.com,ns2.google.com,*F7FD2,NS,False,14m57s,2023-11-17 09:31:18 WIB
google.com,ns3.google.com,*F7FD3,NS,False,14m57s,2023-11-17 09:31:18 WIB
google.com,ns1.google.com,*F7FD4,NS,False,14m57s,2023-11-17 09:31:18 WIB
,k.root-servers.net,*C5D5A7,NS,False,14m59s,2023-11-17 09:31:18 WIB
,b.root-servers.net,*C5D5A8,NS,False,14m59s,2023-11-17 09:31:18 WIB
,l.root-servers.net,*C5D5A9,NS,False,14m59s,2023-11-17 09:31:18 WIB
,e.root-servers.net,*C5D5AA,NS,False,14m59s,2023-11-17 09:31:18 WIB
,m.root-servers.net,*C5D5AB,NS,False,14m59s,2023-11-17 09:31:18 WIB
,f.root-servers.net,*C5D5AC,NS,False,14m59s,2023-11-17 09:31:18 WIB
,d.root-servers.net,*C5D5AD,NS,False,14m59s,2023-11-17 09:31:18 WIB
,g.root-servers.net,*C5D5AE,NS,False,14m59s,2023-11-17 09:31:18 WIB
,c.root-servers.net,*C5D5AF,NS,False,14m59s,2023-11-17 09:31:18 WIB
,a.root-servers.net,*C5D5B0,NS,False,14m59s,2023-11-17 09:31:18 WIB
,i.root-servers.net,*C5D5B1,NS,False,14m59s,2023-11-17 09:31:18 WIB
,h.root-servers.net,*C5D5B2,NS,False,14m59s,2023-11-17 09:31:18 WIB
,j.root-servers.net,*C5D5B3,NS,False,14m59s,2023-11-17 09:31:18 WIB
a.root-servers.net,198.41.0.4,*C5D5B4,A,False,14m59s,2023-11-17 09:31:18 WIB
ns1.google.com,2001:4860:4802:32::a,*E87747,AAAA,False,14m58s,2023-11-17 09:31:18 WIB
a.root-servers.net,2001:503:ba3e::2:30,*EA311D,AAAA,False,14m59s,2023-11-17 09:31:18 WIB
b.root-servers.net,2001:500:84::b,*EA311E,AAAA,False,14m56s,2023-11-17 09:31:18 WIB
c.root-servers.net,2001:500:2::c,*EA311F,AAAA,False,14m59s,2023-11-17 09:31:18 WIB
d.root-servers.net,2001:500:2d::d,*EA3120,AAAA,False,14m59s,2023-11-17 09:31:18 WIB
e.root-servers.net,2001:500:a8::e,*EA3121,AAAA,False,14m59s,2023-11-17 09:31:18 WIB
f.root-servers.net,2001:500:2f::f,*EA3122,AAAA,False,14m56s,2023-11-17 09:31:18 WIB
g.root-servers.net,2001:500:12::d0d,*EA3123,AAAA,False,14m59s,2023-11-17 09:31:18 WIB
ns4.google.com,2001:4860:4802:38::a,*EB2768,AAAA,False,14m58s,2023-11-17 09:31:18 WIB
ns4.google.com,216.239.38.10,*EB568E,A,False,14m58s,2023-11-17 09:31:18 WIB
h.root-servers.net,2001:500:1::53,*EE46F5,AAAA,False,14m59s,2023-11-17 09:31:18 WIB
h.root-servers.net,198.97.190.53,*EEF93C,A,False,14m59s,2023-11-17 09:31:18 WIB
c.root-servers.net,192.33.4.12,*F1EF26,A,False,14m56s,2023-11-17 09:31:18 WIB
g.root-servers.net,192.112.36.4,*F1EF27,A,False,14m56s,2023-11-17 09:31:18 WIB
ns2.google.com,2001:4860:4802:34::a,*F24FFB,AAAA,False,14m58s,2023-11-17 09:31:18 WIB
ns3.google.com,2001:4860:4802:36::a,*F24FFC,AAAA,False,14m58s,2023-11-17 09:31:18 WIB
ns3.google.com,216.239.36.10,*F25301,A,False,14m58s,2023-11-17 09:31:18 WIB
b.root-servers.net,2001:500:200::b,*F33748,AAAA,False,14m59s,2023-11-17 09:31:18 WIB
