indicator,asn,country_code2,name,description,modified,created
190.2.153.208,AS49981 worldstream b.v.,NL,,,,
198.71.53.137,AS8560 1&1 ionos se,US,,,,
74.125.200.188,AS15169 google llc,US,LCIA:HoneyNet:2023,pulled from router,2023-07-23T12:04:51.473000,2023-05-27T06:06:26.480000
217.160.192.232,AS8560 1&1 ionos se,DE,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20T20:30:48.610000,2022-10-11T13:14:18.676000
8.218.162.255,AS45102 alibaba (us) technology co.  ltd.,SG,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T06:34:56.993000,2023-11-20T23:00:36.968000
146.88.241.65,ASNone ,US,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20T23:00:11.182000,2023-11-19T23:00:45.737000
163.70.153.60,ASNone ,FR,,,,
34.117.237.239,AS396982 google,US,UK BASED HONEYPOT,AD HOC UPLOAD,2023-04-23T15:50:42.333000,2023-04-23T15:50:42.333000
190.2.153.231,AS49981 worldstream b.v.,NL,,,,
157.240.208.60,AS32934 facebook  inc.,ID,,,,
209.148.46.65,AS46887 lightower fiber networks i  llc,US,,,,
190.2.153.202,AS49981 worldstream b.v.,NL,,,,
205.185.124.189,AS53667 frantech solutions,US,IOCs - 20237211810 - ANIA Threat Feeds - IP Segment 6,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-08-21T02:04:06.774000,2023-07-22T02:01:48.924000
45.128.232.252,ASNone ,BG,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20T23:00:11.182000,2023-11-19T23:00:45.737000
195.90.208.159,AS42730 evanzo e-commerce gmbh,DE,,,,
157.240.208.34,AS32934 facebook  inc.,ID,,,,
51.77.90.246,AS16276 ovh sas,FR,,,,
142.250.4.188,AS15169 google llc,US,firewall conns,Proto NATed Address  - 192.5.8 Â 1.4m -  is the most popular address on the internet for those tryin,2022-10-03T00:03:36.708000,2022-09-03T14:28:29.224000
45.121.219.249,AS131702 moratelindo internet exchange,ID,,,,
47.241.213.210,AS45102 alibaba (us) technology co.  ltd.,SG,,,,
190.2.153.211,AS49981 worldstream b.v.,NL,,,,
185.241.208.101,ASNone ,NL,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20T20:30:48.610000,2022-10-11T13:14:18.676000
80.120.241.118,AS8447 a1 telekom austria ag,AT,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T06:35:16.307000,2023-11-20T23:00:36.968000
190.2.153.205,AS49981 worldstream b.v.,NL,,,,
192.95.36.142,AS16276 ovh sas,CA,,,,
190.2.153.200,AS49981 worldstream b.v.,NL,,,,
54.39.118.29,AS16276 ovh sas,CA,,,,
172.217.194.188,AS15169 google llc,US,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,2023-02-17T20:24:01.223000
80.66.135.123,AS1239 sprint,BE,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20T20:30:48.610000,2022-10-11T13:14:18.676000
74.125.130.188,AS15169 google llc,US,,,,
142.251.175.188,AS15169 google llc,US,,,,
17.57.145.137,AS714 apple inc.,US,,,,
146.88.241.175,ASNone ,US,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T06:35:16.307000,2023-11-20T23:00:36.968000
140.0.23.161,AS23700 linknet fastnet asn,ID,,,,
146.196.110.82,AS139460 pt maxindo mitra solusi,ID,,,,
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,
69.173.158.64,AS26667 the rubicon project  inc.,SG,,,,
216.239.36.135,AS15169 google llc,US,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,2023-02-17T20:24:01.223000
20.192.15.87,AS8075 microsoft corporation,IN,,,,
92.223.85.164,AS199524 g-core labs s.a.,SG,,,,
134.119.186.75,AS29066 host europe gmbh,FR,,,,
47.241.111.159,AS45102 alibaba (us) technology co.  ltd.,SG,,,,
203.123.56.202,AS139460 pt maxindo mitra solusi,ID,,,,
20.190.163.21,AS8075 microsoft corporation,SG,,,,
163.172.53.201,AS12876 online s.a.s.,FR,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20T20:30:48.610000,2022-10-11T13:14:18.676000
157.240.208.61,AS32934 facebook  inc.,ID,,,,
122.144.2.204,AS38320 pt maxindo mitra solusi,ID,,,,
172.253.118.101,AS15169 google llc,US,,,,
47.245.116.47,AS45102 alibaba (us) technology co.  ltd.,SG,,,,
