protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,203.123.56.246,49222,163.172.53.201,443,OUT.bound,established,,,FR,AS12876 online s.a.s.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,50426,78.46.123.26,8443,OUT.bound,established,,,DE,AS24940 hetzner online gmbh,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,217.160.192.232,443,203.123.56.246,49215,IN.bound,established,,,DE,AS8560 1&1 ionos se,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
udp,8.218.162.255,39129,203.123.56.244,5060,IN.bound,,,,SG,AS45102 alibaba (us) technology co.  ltd.,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21 06:34:56.993
tcp,203.123.56.246,51355,135.148.150.100,443,OUT.bound,established,,,US,AS16276 ovh sas,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
udp,146.88.241.65,5060,203.123.56.246,5060,IN.bound,,,,US,ASNone ,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20 23:00:11.182
tcp,203.123.56.246,49175,81.169.159.28,29001,OUT.bound,established,,,DE,AS6724 strato ag,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,51066,31.13.95.34,443,OUT.bound,established,,,ID,AS32934 facebook  inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
udp,45.128.232.252,8000,203.123.56.244,5060,IN.bound,,,,BG,ASNone ,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20 23:00:11.182
tcp,203.123.56.246,49164,162.159.133.233,443,OUT.bound,established,,,,AS13335 cloudflare,PuffStealer,,2023-11-18 01:24:48.887
tcp,203.123.56.246,49268,162.159.135.233,443,OUT.bound,established,,,,AS13335 cloudflare,Remote Access attack   Agent Tesla   C2   BatLoader   C2   Dridex,,2023-11-14 17:01:45.019
tcp,185.241.208.101,143,203.123.56.246,49184,IN.bound,established,,,NL,ASNone ,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
udp,80.120.241.118,8080,203.123.56.246,5060,IN.bound,,,,AT,AS8447 a1 telekom austria ag,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21 06:35:16.307
tcp,203.123.56.246,49177,162.159.134.233,443,OUT.bound,established,,,,AS13335 cloudflare,Remote Access attack   Agent Tesla   C2   BatLoader   C2   Dridex,,2023-11-14 17:01:45.019
tcp,80.66.135.123,9001,203.123.56.246,49181,IN.bound,established,,,BE,AS1239 sprint,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,49309,51.81.93.145,9001,OUT.bound,established,,,US,AS16276 ovh sas,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,49166,69.30.239.126,443,OUT.bound,established,,,US,AS32097 wholesale internet  inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,50424,45.92.33.62,443,OUT.bound,established,,,GR,AS9009 m247 ltd,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,50360,81.6.47.149,9001,OUT.bound,established,,,CH,AS13030 init7 switzerland  ltd,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,59779,192.0.78.13,443,OUT.bound,established,,,US,ASNone ,Raven,Source: WITHU4EVER.com  nDeepScan   browser modifier  password cracker  C2,2023-11-20 22:08:15.066
tcp,203.123.56.246,52458,88.99.248.158,9001,OUT.bound,established,,,DE,AS24940 hetzner online gmbh,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
udp,146.88.241.175,5060,146.196.110.84,5060,IN.bound,,,,US,ASNone ,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21 06:35:16.307
tcp,203.123.56.246,54262,34.120.208.123,443,OUT.bound,established,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,50687,104.21.23.184,443,OUT.bound,established,,,US,AS13335 cloudflare,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-21 04:16:27.788
tcp,203.123.56.246,54266,185.199.108.133,443,OUT.bound,established,,,US,AS54113 fastly,CVE-2017-11882,This is the full list of terms and terms used to describe a vulnerability in Microsoft Office that h,2023-11-15 06:02:53.764
tcp,203.123.56.246,54267,157.245.172.236,50001,OUT.bound,time-wait,,,US,AS14061 digitalocean  llc,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,54268,148.251.87.112,443,OUT.bound,time-wait,,,DE,AS24940 hetzner online gmbh,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,54269,34.136.93.37,50001,OUT.bound,time-wait,,,US,AS15169 google llc,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20 20:30:48.610
tcp,203.123.56.246,59888,204.79.197.203,443,OUT.bound,established,,,US,AS8068 microsoft corporation,Spyware: http://browser.events.data.microsoftstart.cn,,2023-11-20 05:49:10.586
