indicator,asn,country_code2,name,description,modified,created
54.255.247.221,AS16509 amazon.com inc,SG,,,,
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,
139.180.158.87,AS20473 the constant company  llc,SG,,,,
43.198.50.186,AS16509 amazon.com inc,US,,,,
43.128.74.37,AS132203 tencent building  kejizhongyi avenue,SG,,,,
43.133.45.194,AS132203 tencent building  kejizhongyi avenue,SG,,,,
45.89.228.144,AS49392 llc baxet,RU,,,,
103.107.198.22,AS137409 gsl networks pty ltd,SG,,,,
185.10.68.123,AS200651 flokinet ltd,SC,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26T20:30:44.043000,2022-10-11T13:14:18.676000
43.134.53.107,AS132203 tencent building  kejizhongyi avenue,SG,,,,
43.134.120.219,AS132203 tencent building  kejizhongyi avenue,SG,,,,
47.241.125.77,AS45102 alibaba (us) technology co.  ltd.,SG,,,,
74.125.130.95,AS15169 google llc,US,,,,
43.128.118.190,AS132203 tencent building  kejizhongyi avenue,SG,,,,
101.32.248.90,AS132203 tencent building  kejizhongyi avenue,SG,,,,
20.212.31.164,AS8075 microsoft corporation,US,,,,
172.217.194.95,AS15169 google llc,US,,,,
103.66.70.62,AS133840 pt jala lintas media,ID,,,,
31.13.68.61,AS32934 facebook  inc.,SG,,,,
103.107.199.6,AS137409 gsl networks pty ltd,SG,,,,
3.33.193.183,AS16509 amazon.com inc,US,,,,
157.240.13.54,AS32934 facebook  inc.,SG,,,,
143.198.82.32,AS14061 digitalocean  llc,SG,,,,
157.240.199.61,AS32934 facebook  inc.,HK,,,,
142.251.12.94,AS15169 google llc,US,uTorrent seeds from a VM,The world ,2022-12-16T13:03:24.863000,2022-11-16T13:55:36.805000
142.250.4.95,AS15169 google llc,US,,,,
192.241.197.43,AS14061 digitalocean  llc,US,Webscanners 2018-02-09  thru current day,Automated detection of webscanners based on 404,2023-11-29T03:45:23.720000,2018-02-10T00:36:00.396000
118.98.95.209,AS7713 pt telekomunikasi indonesia,ID,,,,
218.92.0.118,AS4134 chinanet,CN,SSH Brute-Force Honeypot Live,every host is banned for 3 hours and receives an abuse report from me every 96 hours if it continues,2023-11-29T03:48:12.790000,2021-07-13T01:00:09.665000
47.236.101.216,ASNone ,US,,,,
104.43.52.220,AS8075 microsoft corporation,SG,,,,
146.196.109.210,AS139460 pt maxindo mitra solusi,ID,,,,
205.210.31.102,AS396982 google,CA,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29T03:48:36.238000,2023-11-28T23:00:20.181000
23.109.248.96,AS7979 servers.com  inc.,NL,,,,
23.109.248.97,AS7979 servers.com  inc.,NL,,,,
23.109.248.145,AS7979 servers.com  inc.,NL,,,,
175.31.207.250,AS4134 chinanet,CN,Scan port 23 Telnet (S3#),Scans hitting the server at TCP port 23 Telnet. Same IP should not appear more than once in 96 hours,2023-09-13T10:05:31.889000,2023-08-14T10:16:16.807000
157.240.13.1,AS32934 facebook  inc.,SG,,,,
172.104.174.27,AS63949 linode  llc,SG,,,,
64.233.170.138,AS15169 google llc,US,,,,
172.64.165.30,AS13335 cloudflare,US,SafeFrame Container,If you want to know what is going to happen when you create a non-iterable object  try these three p,2022-06-05T00:03:45.266000,2022-05-06T14:01:33.267000
18.64.18.72,ASNone ,US,,,,
23.223.114.56,AS16625 akamai technologies  inc.,BG,,,,
92.223.85.121,AS199524 g-core labs s.a.,SG,,,,
13.228.104.163,AS16509 amazon.com inc,SG,,,,
74.125.68.102,AS15169 google llc,US,,,,
143.244.33.70,AS60068 datacamp limited,SG,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
,,,,,,
20.198.118.190,AS8075 microsoft corporation,IN,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
157.240.15.61,AS32934 facebook  inc.,SG,,,,
122.144.2.204,AS38320 pt maxindo mitra solusi,ID,,,,
20.198.119.143,AS8075 microsoft corporation,IN,,,,
20.212.88.117,AS8075 microsoft corporation,US,,,,
92.223.85.52,AS199524 g-core labs s.a.,SG,,,,
23.106.252.102,AS59253 leaseweb asia pacific pte. ltd.,US,,,,
143.244.33.68,AS60068 datacamp limited,SG,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
