indicator,asn,country_code2,name,description,modified,created
202.148.26.6,AS9794 core mediatech,ID,,,,
202.148.26.3,AS9794 core mediatech,ID,,,,
202.148.26.4,AS9794 core mediatech,ID,,,,
213.211.242.74,AS43341 mdlink online service center gmbh,DE,,,,
71.56.27.41,AS7922 comcast,US,,,,
173.21.177.77,AS30036 mediacom communications corp,US,IP Addresses Logged by the Rosethorn PotNet,Logs of IP trying to hack into my Particle Photon and Cloud Honeypot instance,2023-11-28T01:32:00.864000,2021-02-16T13:14:16.945000
202.148.26.5,AS9794 core mediatech,ID,,,,
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,
185.224.128.184,AS62068 spectraip b.v.,NL,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28T01:34:57.057000,2023-11-27T23:00:06.744000
72.43.120.226,AS12271 charter communications inc,US,IP Addresses Logged by the Rosethorn PotNet,Logs of IP trying to hack into my Particle Photon and Cloud Honeypot instance,2023-11-28T01:32:00.864000,2021-02-16T13:14:16.945000
218.78.31.211,AS4812 china telecom (group),CN,,,,
96.44.142.14,AS8100 quadranet enterprises llc,US,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27T22:59:55.478000,2023-11-26T23:00:29.315000
49.235.237.222,AS45090 shenzhen tencent computer systems company limited,CN,Webscanners 2018-02-09  thru current day,Automated detection of webscanners based on 404,2023-11-28T01:35:07.485000,2018-02-10T00:36:00.396000
103.166.48.122,AS139460 pt maxindo mitra solusi,ID,,,,
72.251.232.180,AS29791 internap holding llc,US,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28T01:35:07.483000,2023-11-27T23:00:06.744000
182.1.122.168,AS23693 pt. telekomunikasi selular,ID,,,,
96.44.142.190,AS8100 quadranet enterprises llc,US,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27T22:59:55.478000,2023-11-26T23:00:29.315000
149.12.246.2,AS174 cogent communications,US,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27T22:59:55.478000,2023-11-26T23:00:29.315000
39.172.106.23,AS56041 china mobile communications corporation,CN,IP Addresses Logged by the Rosethorn PotNet,Logs of IP trying to hack into my Particle Photon and Cloud Honeypot instance,2023-11-28T01:32:00.864000,2021-02-16T13:14:16.945000
91.207.173.70,AS9009 m247 ltd,SG,,,,
202.137.31.157,AS9905 linknet,ID,,,,
36.139.63.59,AS56041 china mobile communications corporation,CN,SSH Brute-Force Honeypot Live,every host is banned for 3 hours and receives an abuse report from me every 96 hours if it continues,2023-11-28T01:35:04.215000,2021-07-13T01:00:09.665000
195.68.142.25,AS3216 pjsc vimpelcom,RU,,,,
34.141.245.25,AS396982 google,NL,Technical Analysis of Bandit Stealer,"Bandit is a new information stealer that harvests stored credentials from web browsers, FTP clients,",2023-08-03T16:00:07.833000,2023-07-04T16:21:51.266000
118.99.84.39,AS17451 biznet networks,ID,,,,
76.169.168.196,AS20001 charter communications inc,US,IP Addresses Logged by the Rosethorn PotNet,Logs of IP trying to hack into my Particle Photon and Cloud Honeypot instance,2023-11-28T01:32:00.864000,2021-02-16T13:14:16.945000
96.44.143.190,AS8100 quadranet enterprises llc,US,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27T22:59:55.478000,2023-11-26T23:00:29.315000
76.178.98.197,AS20001 charter communications inc,US,TELNET - US Honeypot IoCs 2023-11-26,Daily TELNET bruteforce logs from a honeypot in the US on a /32,2023-11-27T04:30:05.761000,2023-11-27T04:30:05.761000
91.90.42.154,AS50304 blix solutions as,NO,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
211.253.221.43,AS4766 korea telecom,KR,IP Addresses Logged by the Rosethorn PotNet,Malicious activity detections from a small network of honeypots that spans multiple ISPs and geograp,2023-11-28T01:31:28.019000,2023-03-27T16:17:36.094000
221.214.141.166,AS4837 china unicom china169 backbone,CN,ETIC Cybersecurity 2023-11-22 Port Scan,,2023-11-22T22:59:46.734000,2023-11-21T23:00:21.307000
149.18.62.148,ASNone ,US,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27T22:59:55.478000,2023-11-26T23:00:29.315000
223.83.144.210,AS9808 china mobile communications group co.  ltd.,CN,,,,
165.231.253.69,AS41564 packet exchange limited,IN,IOCs - 2023117227 - ANIA Threat Feeds - IP Segment 8,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-11-07T21:43:08.601000,2023-11-07T21:43:08.601000
118.99.86.26,AS17451 biznet networks,ID,,,,
208.184.2.35,AS6461 zayo bandwidth,US,,,,
165.231.253.220,AS41564 packet exchange limited,IN,IOCs - 2023651317 - ANIA Threat Feeds - IP Segment 8,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-07-05T20:01:39.023000,2023-06-05T20:46:20.263000
176.97.210.222,AS49581 bil-tim bilgisayar hizmetleri,,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27T22:59:55.478000,2023-11-26T23:00:29.315000
125.228.189.235,AS3462 data communication business group,TW,ETIC Cybersecurity 2023-11-25 Port Scan,,2023-11-25T22:59:57.315000,2023-11-24T23:00:08.796000
128.68.130.78,AS8402 pjsc vimpelcom,RU,,,,
51.89.124.57,AS16276 ovh sas,GB,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27T22:59:55.478000,2023-11-26T23:00:29.315000
14.191.247.129,AS45899 vnpt corp,VN,,,,
123.212.185.192,AS9318 sk broadband co ltd,KR,IP Addresses Logged by the Rosethorn PotNet,Logs of IP trying to hack into my Particle Photon and Cloud Honeypot instance,2023-11-28T01:32:00.864000,2021-02-16T13:14:16.945000
103.135.51.100,AS38320 pt maxindo mitra solusi,ID,,,,
103.136.6.171,AS38320 pt maxindo mitra solusi,ID,,,,
,,,,,,
103.237.140.216,AS38320 pt maxindo mitra solusi,ID,,,,
103.130.5.50,AS138093 pt. lintasmaya multi media,ID,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26T20:30:44.043000,2022-10-11T13:14:18.676000
103.135.51.107,AS38320 pt maxindo mitra solusi,ID,,,,
211.180.132.154,AS3786 lg dacom corporation,KR,RDP honeypot logs for 2023/11/24,RDP honeypot authentication attempts from a US /32,2023-11-24T15:24:03.315000,2023-11-24T15:24:03.315000
103.135.51.27,AS38320 pt maxindo mitra solusi,ID,,,,
103.135.51.108,AS38320 pt maxindo mitra solusi,ID,,,,
8.8.8.8,AS15169 google llc,US,,,,
103.135.51.19,AS38320 pt maxindo mitra solusi,ID,,,,
77.90.185.183,AS208485 nese mala trading as moon dc,DE,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28T01:35:49.933000,2023-11-27T23:00:06.744000
103.136.6.167,AS38320 pt maxindo mitra solusi,ID,,,,
,,,,,,
103.136.6.168,AS38320 pt maxindo mitra solusi,ID,,,,
211.105.228.30,AS4766 korea telecom,KR,IP Addresses Logged by the Rosethorn PotNet,Malicious activity detections from a small network of honeypots that spans multiple ISPs and geograp,2023-11-28T01:36:25.454000,2023-03-27T16:17:36.094000
103.135.51.109,AS38320 pt maxindo mitra solusi,ID,,,,
74.125.24.95,AS15169 google llc,US,,,,
129.227.40.230,AS21859 zenlayer inc,ID,,,,
156.59.238.3,ASNone ,SG,,,,
138.113.21.138,ASNone ,CN,,,,
142.251.175.94,AS15169 google llc,US,CVE JAR Found | Massive active Malicious | unlatched issues,Monitoring Tsara Brashears - Extreme cyber attack against documented as alleged SA victim. Non-Adver,2023-11-24T12:03:49.398000,2023-10-25T18:39:18.723000
203.161.21.200,AS133840 pt jala lintas media,ID,,,,
77.239.219.80,ASNone ,RU,,,,
175.107.0.218,ASNone ,PK,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26T20:30:44.043000,2022-10-11T13:14:18.676000
198.235.24.205,AS396982 google,CA,IP Addresses Logged by the Rosethorn PotNet,Malicious activity detections from a small network of honeypots that spans multiple ISPs and geograp,2023-11-28T01:36:25.454000,2023-03-27T16:17:36.094000
34.149.160.135,AS15169 google llc,US,,,,
8.219.100.30,AS45102 alibaba (us) technology co.  ltd.,SG,,,,
172.253.118.188,AS15169 google llc,US,router conns,Proto NATed Address  - 192.5.8  Â£1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,2023-02-17T20:24:01.223000
163.181.81.33,AS24429 zhejiang taobao network co. ltd,US,,,,
175.107.0.162,ASNone ,PK,Honeypot Visitors (TCP/23) - 2023-11-26,Logs of IP trying to hack into my Particle Photon and Cloud Honeypot instance,2023-11-28T01:32:00.864000,2021-02-16T13:14:16.945000
142.251.175.188,AS15169 google llc,US,,,,
36.85.78.229,AS7713 pt telekomunikasi indonesia,ID,,,,
142.251.175.119,AS15169 google llc,US,,,,
64.233.170.188,AS15169 google llc,US,,,,
52.108.186.3,AS8075 microsoft corporation,US,,,,
