session,protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
2023-11-27_09-47-06,tcp,103.169.73.162,60872,104.244.42.130,443,OUT.bound,established,,INTL.c,US,AS13414 twitter inc.,CVE JAR Found   Massive active Malicious   unlatched issues,Monitoring Tsara Brashears - Extreme cyber attack against documented as alleged SA victim. Non-Adver,2023-11-24 12:03:49.398
2023-11-27_09-47-06,udp,103.169.73.162,58946,152.199.39.108,443,OUT.bound,,,INTL.c,US,AS15133 verizon,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-27 01:17:30.208
2023-11-27_09-47-06,tcp,103.169.73.162,52009,152.199.39.108,443,OUT.bound,established,,INTL.c,US,AS15133 verizon,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-27 01:17:30.208
2023-11-27_09-47-06,tcp,103.169.73.162,51939,152.199.39.108,443,OUT.bound,time-wait,,INTL.c,US,AS15133 verizon,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-27 01:17:30.208
2023-11-27_09-47-06,tcp,103.169.73.162,51941,152.199.39.108,443,OUT.bound,time-wait,,INTL.c,US,AS15133 verizon,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-27 01:17:30.208
2023-11-27_09-47-06,tcp,103.169.73.162,51943,152.199.39.108,443,OUT.bound,time-wait,,INTL.c,US,AS15133 verizon,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-27 01:17:30.208
2023-11-27_09-47-06,tcp,103.169.73.162,51940,152.199.39.108,443,OUT.bound,time-wait,,INTL.c,US,AS15133 verizon,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-27 01:17:30.208
2023-11-27_09-47-06,tcp,103.169.73.162,51944,152.199.39.108,443,OUT.bound,time-wait,,INTL.c,US,AS15133 verizon,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-27 01:17:30.208
2023-11-27_09-47-06,tcp,103.169.73.162,51942,152.199.39.108,443,OUT.bound,time-wait,,INTL.c,US,AS15133 verizon,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-27 01:17:30.208
2023-11-27_09-47-06,udp,37.120.244.53,443,103.169.73.162,53,IN.bound,,,,US,AS9009 m247 ltd,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
2023-11-27_09-47-06,tcp,193.163.125.49,34327,103.169.73.160,51685,IN.bound,syn-sent,,in-utama.c,GB,AS211298 constantine cybersecurity ltd.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
2023-11-27_09-47-06,tcp,103.169.73.162,52952,194.195.223.249,443,OUT.bound,syn-sent,,INTL.c,US,AS63949 linode  llc,Malware Command and Control IPs,,2023-11-27 00:55:21.221
2023-11-27_09-47-06,tcp,118.123.105.92,37387,103.169.73.172,689,IN.bound,syn-sent,,,CN,AS38283 chinanet sichuan telecom internet data center,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 02:07:24.553
2023-11-27_09-47-06,tcp,103.169.73.162,59175,103.231.200.250,1433,OUT.bound,syn-sent,,LOKAL.c,ID,AS133352 pt. berdikari prima mandiri,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
2023-11-27_09-47-06,tcp,103.169.73.162,61212,194.195.223.249,443,OUT.bound,syn-sent,,INTL.c,US,AS63949 linode  llc,Malware Command and Control IPs,,2023-11-27 00:55:21.221
2023-11-27_09-47-06,tcp,103.169.73.162,59482,103.231.201.29,1433,OUT.bound,syn-sent,,LOKAL.c,ID,AS133352 pt. berdikari prima mandiri,Scan port 445 SMB (S3#),Scans hitting the server at TCP port 445 SMB. Same IP should not appear more than once in 96 hours i,2023-11-22 10:17:21.039
