indicator,asn,country_code2,name,description,modified,created,source,message,validation_name
43.133.45.194,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
157.240.211.61,AS32934 facebook  inc.,HK,,,,,,,
31.13.68.1,AS32934 facebook  inc.,SG,Kelowna detachment - British Columbia,https://www.rcmp-grc.gc.ca/detach/en/d/201,2023-09-21T05:02:23.556000,2023-08-13T22:57:26.810000,whitelist,contained in whitelisted prefix,Whitelisted IP
43.128.74.37,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
31.13.68.60,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
43.134.120.219,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
3.216.157.50,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
31.13.95.40,AS32934 facebook  inc.,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,,,,
130.44.212.236,AS396986 bytedance inc.,US,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000,,,
192.53.174.79,AS63949 linode  llc,SG,,,,,,,
118.98.95.40,AS7713 pt telekomunikasi indonesia,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
92.223.85.54,AS199524 g-core labs s.a.,SG,,,,,,,
34.110.200.237,AS15169 google llc,US,,,,,,,
43.134.53.107,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
138.199.46.216,AS60068 datacamp limited,SG,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000,,,
103.107.199.6,AS137409 gsl networks pty ltd,SG,,,,,,,
157.240.13.55,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
43.198.50.186,AS16509 amazon.com inc,US,,,,,,,
157.240.218.61,AS32934 facebook  inc.,SG,,,,,,,
130.44.212.235,AS396986 bytedance inc.,US,,,,,,,
172.253.118.95,AS15169 google llc,US,,,,,,,
163.70.141.61,ASNone ,FR,,,,,,,
18.163.242.58,AS16509 amazon.com inc,HK,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
205.210.31.78,AS396982 google,CA,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:31:52.109000,2023-11-29T23:00:27.728000,,,
162.142.125.246,AS398324 censys  inc.,US,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:31:52.109000,2023-11-29T23:00:27.728000,,,
74.125.24.113,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
172.104.138.223,AS63949 linode  llc,DE,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:31:52.109000,2023-11-29T23:00:27.728000,,,
157.240.13.54,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
31.13.68.61,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
