indicator,asn,country_code2,name,description,modified,created,source,message,validation_name
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,,,,
43.134.120.219,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
43.128.74.37,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
101.32.248.90,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
103.107.198.66,AS137409 gsl networks pty ltd,SG,,,,,,,
157.240.217.60,AS32934 facebook  inc.,SG,,,,,,,
43.133.45.194,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
43.134.53.107,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
138.199.46.216,AS60068 datacamp limited,SG,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000,,,
192.53.174.79,AS63949 linode  llc,SG,,,,,,,
54.255.247.221,AS16509 amazon.com inc,SG,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
47.246.177.254,ASNone ,US,,,,,,,
18.163.242.58,AS16509 amazon.com inc,HK,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
31.13.95.40,AS32934 facebook  inc.,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
157.240.218.60,AS32934 facebook  inc.,SG,,,,,,,
157.240.211.61,AS32934 facebook  inc.,HK,,,,,,,
122.144.3.5,AS38320 pt maxindo mitra solusi,ID,IOCs - 2023651317 - ANIA Threat Feeds - IP Segment 8,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-07-05T20:01:39.023000,2023-06-05T20:46:20.263000,,,
92.223.85.54,AS199524 g-core labs s.a.,SG,,,,,,,
172.104.174.27,AS63949 linode  llc,SG,,,,,,,
20.212.88.117,AS8075 microsoft corporation,US,,,,,,,
157.240.217.2,AS32934 facebook  inc.,SG,,,,,,,
36.65.52.254,AS7713 pt telekomunikasi indonesia,ID,,,,,,,
15.197.193.114,AS16509 amazon.com inc,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
130.44.212.234,AS396986 bytedance inc.,US,,,,,,,
64.176.80.9,ASNone ,US,,,,,,,
146.196.111.222,AS139460 pt maxindo mitra solusi,ID,,,,,,,
2.59.119.149,AS212219 hosting dunyam,TR,,,,,,,
43.198.50.186,AS16509 amazon.com inc,US,,,,,,,
212.71.253.160,AS63949 linode  llc,GB,,,,,,,
188.42.84.151,AS7979 servers.com  inc.,LU,,,,,,,
188.42.84.152,AS7979 servers.com  inc.,LU,,,,,,,
188.42.84.150,AS7979 servers.com  inc.,LU,,,,,,,
,,,,,,,,,
141.98.11.60,AS209605 uab host baltic,LT,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T08:41:29.775000,2023-11-29T23:00:27.728000,,,
180.254.224.129,AS7713 pt telekomunikasi indonesia,ID,,,,,,,
119.147.86.35,AS4134 chinanet,CN,,,,,,,
218.92.0.101,AS4134 chinanet,CN,IOCs - 20231081410 - ANIA Threat Feeds - IP Segment 1,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-11-07T22:02:18.651000,2023-10-08T22:10:40.622000,,,
