indicator,asn,country_code2,name,description,modified,created,source,message,validation_name
185.224.128.184,AS62068 spectraip b.v.,NL,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T09:11:58.881000,2023-11-29T23:00:27.728000,,,
77.83.246.202,AS35758 rachamim aviel twito trading as a.b internet solutions,RU,,,,,,,
45.221.111.29,AS328543 african network information center,TR,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T09:11:58.881000,2023-11-29T23:00:27.728000,,,
195.85.201.201,AS211557 oguzhan oktay,TR,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29T22:59:38.184000,2023-11-28T23:00:20.181000,,,
44.192.79.115,AS14618 amazon.com  inc.,US,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20T23:00:11.182000,2023-11-19T23:00:45.737000,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,,,,
,,,,,,,,,
185.53.249.201,ASNone ,NL,,,,,,,
206.168.173.6,ASNone ,US,,,,,,,
122.144.3.5,AS38320 pt maxindo mitra solusi,ID,IOCs - 2023651317 - ANIA Threat Feeds - IP Segment 8,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-07-05T20:01:39.023000,2023-06-05T20:46:20.263000,,,
103.158.129.39,ASNone ,ID,,,,,,,
43.247.14.184,AS38320 pt maxindo mitra solusi,ID,,,,,,,
43.247.14.183,AS38320 pt maxindo mitra solusi,ID,,,,,,,
43.247.15.199,AS38320 pt maxindo mitra solusi,ID,,,,,,,
47.246.28.132,AS24429 zhejiang taobao network co. ltd,OM,,,,,,,
43.247.14.187,AS38320 pt maxindo mitra solusi,ID,,,,,,,
175.103.39.165,AS38320 pt maxindo mitra solusi,ID,,,,,,,
43.247.15.203,AS38320 pt maxindo mitra solusi,ID,,,,,,,
202.179.185.138,AS38750 telemedia dinamika sarana,ID,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29T20:30:49.916000,2022-10-11T13:14:18.676000,,,
103.234.253.172,AS38320 pt maxindo mitra solusi,ID,,,,,,,
175.103.37.238,AS38320 pt maxindo mitra solusi,ID,,,,,,,
103.234.253.167,AS38320 pt maxindo mitra solusi,ID,,,,,,,
119.110.73.198,AS38320 pt maxindo mitra solusi,ID,,,,,,,
43.247.15.196,AS38320 pt maxindo mitra solusi,ID,,,,,,,
175.103.39.167,AS38320 pt maxindo mitra solusi,ID,,,,,,,
43.247.14.180,AS38320 pt maxindo mitra solusi,ID,,,,,,,
162.216.150.30,AS396982 google,US,Webscanners with Bad Requests - HTTP Status 400 - 1/20/2018 thru current day,Webscanners who&amp;amp;amp;#39;s requests resulted in HTTP Status code 400 due to WAF rules or LB p,2023-11-30T09:10:16.267000,2018-01-21T20:25:51.668000,,,
103.133.70.189,ASNone ,ID,,,,,,,
175.103.39.43,AS38320 pt maxindo mitra solusi,ID,,,,,,,
172.217.194.188,AS15169 google llc,US,router conns,Proto NATed Address  - 192.5.8  Â£1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,2023-02-17T20:24:01.223000,whitelist,contained in whitelisted prefix,Whitelisted IP
34.149.173.23,AS15169 google llc,US,,,,,,,
