protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,203.123.56.246,49921,104.21.23.184,443,OUT.bound,established,,,US,AS13335 cloudflare,Japanese phishing site.,phishing-site list generated from scattered spam emails. n nOTX(2021): https://otx.alienvault.com/pu,2023-11-21 01:15:11.912
tcp,203.123.56.246,55114,35.186.224.25,443,OUT.bound,established,,,US,AS15169 google llc,ETIC Cybersecurity 2023-11-20 Port Scan,nan,2023-11-20 23:00:11.182
udp,45.155.91.237,5179,203.123.56.244,5060,IN.bound,,,,PH,AS133334 dctv cable network broadband services inc,ETIC Cybersecurity 2023-11-20 Port Scan,nan,2023-11-20 23:00:11.182
udp,45.155.91.237,5081,146.196.110.84,5060,IN.bound,,,,PH,AS133334 dctv cable network broadband services inc,ETIC Cybersecurity 2023-11-20 Port Scan,nan,2023-11-20 23:00:11.182
tcp,203.123.56.246,55128,35.186.224.25,443,OUT.bound,established,,,US,AS15169 google llc,ETIC Cybersecurity 2023-11-20 Port Scan,nan,2023-11-20 23:00:11.182
udp,45.155.91.237,5179,203.123.56.247,5060,IN.bound,,,,PH,AS133334 dctv cable network broadband services inc,ETIC Cybersecurity 2023-11-20 Port Scan,nan,2023-11-20 23:00:11.182
tcp,203.123.56.246,49268,162.159.135.233,443,OUT.bound,established,,,,AS13335 cloudflare,Remote Access attack   Agent Tesla   C2   BatLoader   C2   Dridex,nan,2023-11-14 17:01:45.019
tcp,203.123.56.246,51001,34.94.245.237,443,OUT.bound,established,,,US,AS396982 google,Fraud Services,http://kramtechnology.com/  fraud services  network  rat  trojan  phishing  malvertizing  malware ho,2023-11-18 14:04:48.923
udp,45.155.91.237,5179,203.123.56.246,5060,IN.bound,,,,PH,AS133334 dctv cable network broadband services inc,ETIC Cybersecurity 2023-11-20 Port Scan,nan,2023-11-20 23:00:11.182
tcp,203.123.56.246,49177,162.159.134.233,443,OUT.bound,established,,,,AS13335 cloudflare,Remote Access attack   Agent Tesla   C2   BatLoader   C2   Dridex,nan,2023-11-14 17:01:45.019
udp,45.155.91.237,5179,203.123.56.245,5060,IN.bound,,,,PH,AS133334 dctv cable network broadband services inc,ETIC Cybersecurity 2023-11-20 Port Scan,nan,2023-11-20 23:00:11.182
tcp,203.123.56.246,50999,34.94.245.237,443,OUT.bound,close,,,US,AS396982 google,Fraud Services,http://kramtechnology.com/  fraud services  network  rat  trojan  phishing  malvertizing  malware ho,2023-11-18 14:04:48.923
tcp,167.248.133.150,4151,203.123.56.244,16289,IN.bound,syn-sent,,,US,AS398722 censys  inc.,ETIC Cybersecurity 2023-11-21 Port Scan,nan,2023-11-21 03:05:12.348
tcp,203.123.56.246,56046,34.160.111.145,80,OUT.bound,time-wait,,,US,AS15169 google llc,Malware Command and Control IPs,nan,2023-11-20 22:02:01.220
tcp,43.130.57.239,45254,203.123.56.244,40000,IN.bound,syn-sent,,,SG,AS132203 tencent building  kejizhongyi avenue,ETIC Cybersecurity 2023-11-21 Port Scan,nan,2023-11-21 03:05:12.348
