{'.id': '*75B52C', 'type': 'A', 'data': '202.6.211.33', 'name': 'vpn.tarumanagara.com', 'ttl': '1h', 'static': True, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B52E', 'type': 'TXT', 'data': '"cerner-client-id=22dd1d8a-5e8b-4e1e-80ef-39bcdfd42798"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B52F', 'type': 'TXT', 'data': '"v=spf1 include:_spf.apple.com include:_spf-txn.apple.com ~all"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B530', 'type': 'TXT', 'data': '"77a4a6de-da14-449c-83c4-85366e0f55f9"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B531', 'type': 'TXT', 'data': '"google-site-verification=zBSq1mG5ssu2If-C17UAz_MzSZDcx03MVxmeDwMNc5w"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B532', 'type': 'TXT', 'data': '"facebook-domain-verification=n6cqjfucq6plswmtfbwnbbeu1qiq3v"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B533', 'type': 'TXT', 'data': '"json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJpZW4wYWVHaGF0aG9oNmhhaHZpZWphaTNlYXkwYWh2YWhjaGFocXVhZWxlZTBZdWw0cGhpZXRoMHNvNXZpZXllZWNvaDRpZThzaGVlcGllVDNwYWVjaGVpVjZqb2h3aWVwaG82In0K"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B534', 'type': 'TXT', 'data': '"atlassian-domain-verification=mLabq99iaT8kquJechF6l31FAYoNUe3WB7tLpLFUiUYVJCse9SKq83hOJzFkwqrh"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B535', 'type': 'TXT', 'data': '"adobe-idp-site-verification=6bd5e74c-a3a0-4781-b2e1-e95399b5e11c"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B536', 'type': 'TXT', 'data': '"ValidationTokenValue=77a4a6de-da14-449c-83c4-85366e0f55f9"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
{'.id': '*75B537', 'type': 'TXT', 'data': '"cerner-client-id=ce3abf18-ee87-43b9-9927-9eb24b4bac4a"', 'name': 'apple.com', 'ttl': '24s', 'static': False, 'timestamp': '2023-11-21 14:14:25 WIB'}
